product_id,title,url,city,district,ward,street,full_address,price_total,price_per_m2,area,frontage,road_width,bedrooms,bathrooms,floors,direction,interior,legal_status,post_rank,price_trend_1y,has_elevator,near_park,is_frontage_road,description,posted_date,expiry_date,property_type
42738250,"Chính chủ bán tòa CHDV cách biển 300m, 22 phòng luôn full, 153.6m2 x 7 tầng, 3 mặt thoáng",https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-an-ninh-phuong-hoa-khanh-bac-47/ban-toa-chdv-cach-bien-300m-luon-full-phong-sat-khu-du-lich-mikazuki-vin-lang-van-pr42738250,Đà Nẵng,Quận Liên Chiểu,Phường Hòa Khánh Bắc,Đường Nguyễn An Ninh,"Đường Nguyễn An Ninh, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",21800.0,21.8,153.6,6.4,8.0,20.0,21.0,7,Đông - Bắc,Đầy đủ.,Sổ đỏ/ Sổ hồng,Tin VIP Vàng,67.6,False,False,False,"Cần tiền bán tòa nhà CHDV gần biển (300m ra bãi tắm biển), sát khu du lịch Mikazuki Nhật Bản, luôn full phòng. Có 18 phòng đơn + 2 phòng đôi 1 ngủ 1 khách + mặt bằng kinh doanh tầng 1 + phòng giặt sấy tầng tum. Dòng tiền ~70tr / tháng. Đầy đủ PCCC đã được thẩm duyệt bởi cơ quan chức năng. Diện tích: 153.6m² xây 7 tầng (xây hết đất), diện tích sàn xây dựng 871m². Tòa nhà 3 mặt thoáng, có ~50m² đất lưu không bên cạnh nhà làm sân để xe. Định vị vị trí nhà: https://maps.app.goo.gl/YLude5dhNQkeYJUr6 Sổ đỏ chính chủ cất két. Giá bán: 21.8 tỷ đồng. Dịch vụ quảng cáo, báo mạng, mua cho sếp Việt kiều, sếp người nước ngoài vui lòng không làm phiền. Welcome MG. Liên hệ Trung 098290390(Năm).",2026-04-27,2026-05-12,multi_unit_building
42738250,"Chính chủ bán tòa CHDV cách biển 300m, 22 phòng luôn full, 153.6m2 x 7 tầng, 3 mặt thoáng",https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-an-ninh-phuong-hoa-khanh-bac-47/ban-toa-chdv-cach-bien-300m-luon-full-phong-sat-khu-du-lich-mikazuki-vin-lang-van-pr42738250,Đà Nẵng,Quận Liên Chiểu,Phường Hòa Khánh Bắc,Đường Nguyễn An Ninh,"Đường Nguyễn An Ninh, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng",21800.0,21.8,153.6,6.4,8.0,20.0,21.0,7,Đông - Bắc,Đầy đủ.,Sổ đỏ/ Sổ hồng,Tin VIP Vàng,67.6,False,False,False,"Cần tiền bán tòa nhà CHDV gần biển (300m ra bãi tắm biển), sát khu du lịch Mikazuki Nhật Bản, luôn full phòng. Có 18 phòng đơn + 2 phòng đôi 1 ngủ 1 khách + mặt bằng kinh doanh tầng 1 + phòng giặt sấy tầng tum. Dòng tiền ~70tr / tháng. Đầy đủ PCCC đã được thẩm duyệt bởi cơ quan chức năng. Diện tích: 153.6m² xây 7 tầng (xây hết đất), diện tích sàn xây dựng 871m². Tòa nhà 3 mặt thoáng, có ~50m² đất lưu không bên cạnh nhà làm sân để xe. Định vị vị trí nhà: https://maps.app.goo.gl/YLude5dhNQkeYJUr6 Sổ đỏ chính chủ cất két. Giá bán: 21.8 tỷ đồng. Dịch vụ quảng cáo, báo mạng, mua cho sếp Việt kiều, sếp người nước ngoài vui lòng không làm phiền. Welcome MG. Liên hệ Trung 098290390(Năm).",2026-04-27,2026-05-12,multi_unit_building
28624572,C. Chủ gửi bán căn Opal Skyline 2 phòng 68.4m2 giá 2.1tỷ full VAT. Bao sang tên giá tốt nhất dự án,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-tiet-phuong-lai-thieu-opal-skyline/tra-truoc-200-trieu-8-2021-ky-hdmb-moi-thang-tra-1-nhan-ngay-30-chi-vang-0903041228-pr28624572,Bình Dương,Thành phố Thuận An,Phường Lái Thiêu,Đường Nguyễn Văn Tiết,"Opal Skyline, Đường Nguyễn Văn Tiết, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",2100.0,2.1,68.4,,,2.0,2.0,1,Tây - Nam,Hoàn thiện nội thất.,Hợp đồng mua bán.,Tin VIP Bạc,18.9,False,False,False,"Căn 68,4m² (thông thủy 61,87m²) 2PN, 2WC.
* Giá: 2.1 tỷ full VAT, full 100%. Hướng Đông Bắc, view mặt tiền đường Nguyễn Văn Tiết. Bàn giao nội thất cơ bản full cao cấp. Giá bán bao toàn bộ thuế phí sang nhượng.
* Liên hệ ngay làm việc chính chủ: 0901 899 *** - Huy Bình PKD Đất Xanh. Opal Skyline - Một bước chân ngàn tiện ích. Cư dân sống tại OPS không chỉ sử dụng được hơn 25 tiện ích cao cấp nội khu mà còn kết nối các tiện ích ngoại khu rất thuận tiện.
* Liên hệ ngay làm việc chính chủ: 0901 899 *** - Huy Bình PKD Đất Xanh.",2026-04-28,2026-05-05,multi_unit_building
45624013,"Bán khách sạn trực diện biển mặt đường Trần Phú, Nha Trang, 20 tầng, 85 phòng, pháp lý đủ, 177 tỷ",https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-phu-phuong-vinh-nguyen-350/ban-khach-san-truc-dien-bien-uong-trang-20-tang-85-phong-phap-ly-u-177-ty-pr45624013,Khánh Hòa,Thành phố Nha Trang,Phường Vĩnh Nguyên,Đường Trần Phú,"Đường Trần Phú, Phường Vĩnh Nguyên, Thành phố Nha Trang, Khánh Hòa",177000.0,177.0,211.5,8.5,14.0,85.0,87.0,20,Đông - Nam,Đầy đủ,Sổ đỏ/ Sổ hồng,Tin VIP Bạc,38.5,False,True,False,"Cần bán khách sạn mặt tiền đường Trần Phú, Nha Trang view trực diện biển đối diện công viên thanh niên.
- Diện tích 211,5m² mặt tiền 8,5m.
- Xây dựng 20 tầng.
- Gồm 85 phòng, 1 hầm, nhà hàng buffet, bể bơi, phòng làm việc.
- Giấy tờ PCCC đầy đủ.
- Sổ đỏ sở hữu lâu dài.
- Hướng Đông Nam.
* Giá bán: 177 tỷ (Thương lượng).",2026-04-29,2026-05-06,multi_unit_building
45022867,"Sổ hồng sẵn, căn góc 2 phòng ngủ 98m2 view cực đẹp trực diện Sông Sài Gòn, toàn cảnh Quận 1",https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-binh-trung-tay-diamond-island/so-hong-san-goc-2-phong-ngu-98m2-view-cuc-dep-truc-dien-song-sai-gon-toan-canh-quan-1-pr45022867,Hồ Chí Minh,Quận 2,Phường Bình Trưng Tây,,"Diamond Island, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",15000.0,15.0,98.0,,,2.0,2.0,1,,Nội thất căn này thuộc dạng cơ bản.,Sổ đỏ/ Sổ hồng,Tin VIP Bạc,32.9,False,False,False,"Căn 2 phòng ngủ vào diện đẹp nhất nhì Diamond Island rẻ nhất.
- Tầng 06.
- Diện tích: 98m².
- Nhà thiết kế 2 phòng ngủ với phòng khách và bếp vuông, 2 phòng ngủ lớn, phòng master có bồn tắm, Ban công rộng.
- Nội thất đã cũ, nên tính nhà cơ bản và về làm lại, chịu đầu tư thì sẽ có 1 căn cực hiếm, vẹn cả nhà và view siêu đỉnh.
- Nhà rất riêng tư vì không căn nào nhìn vào.
- Căn góc, cách âm cực tốt.
- Căn góc nên có 2 view: Trực diện Sông Sài gòn toàn diện: View Quận 1 - Landmark 81 - Cầu Phú Mỹ đầy đủ, view vĩnh viễn không che.
- Giá bán 15 tỷ all - in. Giá này bên bán bao thuế và phí MG, phí công chứng. Hỗ trợ cho khách mua vay ngân hàng nếu có nhu cầu. Căn này em cầm key, xem nhà , Anh chị cô chú quan tâm liên hệ em nhé: 0967 792 *** .
- Cam kết thông tin chính xác.
- Làm việc chính chủ.
- Tư vấn thị trường Đảo và cả thị trường khu vực quận 2.
- Nhiệt tình, tận tụy vì lợi ích khách hàng.",2026-04-28,2026-05-13,multi_unit_building
44920493,"Mặt tiền 16m - Building 8 tầng mặt vườn hoa Trần Thái Tông, Duy Tân - KĐT mới Cầu Giấy",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-dich-vong-phuong-yen-hoa-2-khu-do-thi-moi-cau-giay/mat-tien-16m-building-8-tang-mat-vuon-tran-thai-tong-hau-kdt-giay-pr44920493,Hà Nội,Quận Cầu Giấy,Phường Yên Hòa,Đường Dịch Vọng,"Khu đô thị mới Cầu Giấy, Đường Dịch Vọng, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",172000.0,172.0,288.0,16.0,50.0,,,8,Tây - Nam,Cơ bản,Sổ đỏ/ Sổ hồng,Tin VIP Bạc,-10.5,False,True,False,"Hướng Tây Nam, mặt vườn hoa, công viên, tâm điểm của những con phố Trần Thái Tông - Duy Tân - Dịch Vọng Hậu. Đất chia lô vuông vắn, DT 288m² x 8T (thô) có hầm, giá 172 tỷ (tốt hơn mặt bằng chung). Alo em để tiếp cận đầy đủ hồ sơ pháp lý.
- Kênh này được tạo ra nhằm làm cho bạn: HÀI LÒNG với quyết định trọng đại của chính mình! - Nơi cung cấp trải nghiệm thật, luôn nỗ lực mang đến sự tiết kiệm, hiệu quả, tin cậy cho khách hàng chính nghĩa.
- Chúng tôi luôn đặt mình vào vị trí của bạn để cung cấp những giải pháp tối ưu mang tính chiến lược cho mục tiêu dài hạn của anh chị cô chú. Liên hệ tôi nếu bạn có bất cứ thắc mắc hay cần sự hỗ trợ nào. Tùng Lâm bất động sản chiến lược 0948 332 *** .",2026-04-24,2026-05-01,multi_unit_building
45311726,"Bán nhà 4 tầng, diện tích 40 m², mặt tiền hơn 4 m, 4 phòng ngủ",https://batdongsan.com.vn/ban-nha-rieng-xa-dong-my_1/ban-4-tang-dien-tich-40-m-mat-tien-hon-4-m-4-phong-ngu-pr45311726,Hà Nội,Huyện Thanh Trì,Xã Đông Mỹ,,"Xã Đông Mỹ, Huyện Thanh Trì, Hà Nội",5400.0,5.4,40.0,,,4.0,,4,,,Có sổ,Tin VIP Bạc,27.6,False,False,False,"Bán nhà 4 tầng diện tích 40 m² mặt tiền hơn 4 m, 4 phòng ngủ, 1 phòng thờ, sân phơi. Đông Mỹ, Thanh Trì, Hà Nội. Giá chỉ: 5,4 tỷ.
Vị trí đẹp, ngõ rộng, ô tô đỗ cửa, dân cư đông đúc, an ninh tốt. Vị trí và tiện ích xung quanh (trong bán kính 1 km): Trường học các cấp. Khu thể thao & sân bóng. Chợ dân sinh, siêu thị tiện ích. UBND, trạm y tế, các dịch vụ công cộng. Giao thông thuận tiện. Liên hệ: 0913 771 *** - Hùng Nhà Đất.",2026-04-20,2026-04-30,multi_unit_building
45263196,"Bán nhà 5 tầng 48m2 Cự Khối, Long Biên 6 phòng ngủ ngõ thông gần ôtô tránh và công viên",https://batdongsan.com.vn/ban-nha-rieng-phuong-cu-khoi/ban-nh-a-5-tang-48m-long-bien-6-phong-ngu-ngo-thong-gan-oto-t-ranh-va-cong-vien-pr45263196,Hà Nội,Quận Long Biên,Phường Cự Khối,,"Phường Cự Khối, Quận Long Biên, Hà Nội",8500.0,8.5,48.0,4.0,3.0,6.0,4.0,5,Nam,Cơ bản,Sổ đỏ/ Sổ hồng,Tin thường,44.0,True,True,False,"Diện tích: 48m² xây 5 tầng thang máy 450kg. 6 phòng ngủ rộng rãi, công năng đầy đủ cho gia đình đông người. Ngõ thông, gần ô tô tránh, giao thông thuận tiện. Vị trí đẹp Cự Khối Long Biên. Gần trường học, chợ dân sinh, công viên. Gần hồ điều hòa 31ha không khí trong lành. Nhanh ra cầu Vĩnh Tuy, Aeon Mall Long Biên. Khu dân cư văn minh, an ninh tốt. Sổ đỏ chính chủ, sẵn sàng giao dịch. Giá: 8,5 tỷ còn TL. Alo Trọng Thiêm 0982 679 *** . Xem nhà ngay hôm nay.",2026-04-22,2026-05-07,multi_unit_building
45599750,Căn hiếm! 3 phòng ngủ Estella Heights - Tháp thương mại - Sẵn sổ hồng - Vào ở ngay,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-song-hanh-phuong-an-phu-estella-heights/hiem-3-phong-ngu-thap-thuong-mai-san-so-hong-vao-o-ngay-pr45599750,Hồ Chí Minh,Quận 2,Phường An Phú,Đường Song Hành,"Estella Heights, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh",16300.0,16.3,120.0,,,3.0,2.0,1,,Đầy đủ,Sổ đỏ/ Sổ hồng,Tin thường,19.4,False,False,False,"Nhanh tay sở hữu căn hộ chung cư Estella Heights với những ưu điểm nổi bật sau:
- Diện tích: 120m², layout: 3 phòng ngủ - 2 toilet - Kho - logia rộng rãi.
- Diện tích tim tường: 109,6m².
- Nội thất đầy đủ: Bao gồm điều hòa, tủ lạnh, Bồn tắm, Tivi, Đèn trần,...
- Pháp lý đầy đủ: Sổ hồng công chứng ngay.
- Nhà rất mới, rất đẹp, chủ đã chăm chút từng li từng tí.
- Giá chỉ 16 tỷ 3 chưa bao gồm thuế bên bán.
- Giá all in: 16 tỷ 8 đã bao gồm thuế bên bán.
- Có 2 suất đậu ô tô hầm.
- Miễn phí tất cả tiện ích cao cấp nhất dự án: BBQ, tennis, gym, hồ bơi 50m,... Liên hệ ngay em Quân để xem nhà nhanh chóng: 0938 885 *** em Quân chuyên căn hộ cao cấp.",2026-04-21,2026-05-06,multi_unit_building
45570958,"Hẻm xe hơi Nguyễn Văn Đậu Bình Thạnh ~60m2, 4.5x12m, 5 tầng 7 phòng cho thuê 40tr 8,5 tỷ TL",https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-dau-phuong-11-7-66/8-5-ty-ban-5-tang-btct-54m2-7pn-cho-thue-40-trieu-th-uong-au-binh-thanh-pr45570958,Hồ Chí Minh,Quận Bình Thạnh,Phường 11,Đường Nguyễn Văn Đậu,"Đường Nguyễn Văn Đậu, Phường 11, Quận Bình Thạnh, Hồ Chí Minh",8500.0,8.5,54.0,5.0,4.0,7.0,7.0,5,,,Sổ đỏ/ Sổ hồng,Tin thường,12.4,False,False,False,"Bán nhà đường Nguyễn Văn Đậu Bình Thạnh. Hẻm trước nhà 4m rộng rãi, sạch sẽ, cách hẻm xe hơi 20m. Gần 60m². Ngang 4.5 x 12m x 5 tầng. Trệt lửng 2 lầu sân thượng BTCT - hoàn công đủ. Có 7 phòng 7wc. Cho thuê được 40 triệu/ tháng. Sổ hồng riêng. Giá 8.5 tỷ thương lượng trực tiếp chủ. Gọi hoặc zalo để xem nhà.",2026-04-17,2026-05-02,multi_unit_building
