product_id,title,url,city,district,ward,street,full_address,price_total,price_per_m2,area,frontage,road_width,bedrooms,bathrooms,floors,direction,interior,legal_status,post_rank,price_trend_1y,has_elevator,near_park,is_frontage_road,description,posted_date,expiry_date,property_type
44097550,"Hàng chủ đầu tư - sổ đỏ chuyển nhượng dự án đấu giá Đông Dương, Đức Thượng, Hoài Đức",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-32-xa-duc-thuong-dong-duong-residence/hang-chu-dau-tu-so-do-chuyen-nhuong-du-an-dau-gia-thuong-pr44097550,Hà Nội,Huyện Hoài Đức,Xã Đức Thượng,Đường Quốc lộ 32,"Đông Dương Residence, Đường Quốc lộ 32, Xã Đức Thượng, Huyện Hoài Đức, Hà Nội",11900.0,11.9,80.0,5.0,12.0,6.0,7.0,5,Tây - Nam,Không nội thất.,Sổ đỏ/ Sổ hồng,Tin VIP Vàng,15.3,False,False,False,"Tên dự án: Đầu tư xây dựng nhà ở tại khu đất bồi thường, hỗ trợ giải phóng mặt bằng phục vụ đầu tư xây dựng hạ tầng kỹ thuật tại xã Đức Thượng, huyện Hoài Đức, Hà Nội.
- Quy mô dự án: 8 ha với 342 căn liền kề, shophouse.
- Diện tích 80m², xây 4 tầng 1 tum (hoàn thiện mặt ngoài).
- Mật độ xây dựng: 81%.
- Bàn giao nhà: Quỹ .
- Sổ đỏ, hình thức sở hữu riêng.
- Giá 11,9 tỷ.
- Ngân hàng hỗ trợ.
- Vị trí: Ngay Quốc Lộ 32, 3 mặt tiền đường 24m và 30m.
- Cách dự án Vinhomes Đan Phượng 2km.
- Trong Vành Đai 4 khoảng 1km.
- Các đường Tây Thăng Long 1,5km.
- Dự án tốt về pháp lý và đẹp về giá cả.
- Cạnh khu cảng Nội Địa Mỹ Đình (ICD). Liên hệ tham quan dự án và làm việc chi tiết về giá: Em Duy Đông Dương - Đức Thượng Residence: 0868 383 *** .",2026-04-22,2026-04-29,project
44097550,"Hàng chủ đầu tư - sổ đỏ chuyển nhượng dự án đấu giá Đông Dương, Đức Thượng, Hoài Đức",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-32-xa-duc-thuong-dong-duong-residence/hang-chu-dau-tu-so-do-chuyen-nhuong-du-an-dau-gia-thuong-pr44097550,Hà Nội,Huyện Hoài Đức,Xã Đức Thượng,Đường Quốc lộ 32,"Đông Dương Residence, Đường Quốc lộ 32, Xã Đức Thượng, Huyện Hoài Đức, Hà Nội",11900.0,11.9,80.0,5.0,12.0,6.0,7.0,5,Tây - Nam,Không nội thất.,Sổ đỏ/ Sổ hồng,Tin VIP Vàng,15.3,False,False,False,"Tên dự án: Đầu tư xây dựng nhà ở tại khu đất bồi thường, hỗ trợ giải phóng mặt bằng phục vụ đầu tư xây dựng hạ tầng kỹ thuật tại xã Đức Thượng, huyện Hoài Đức, Hà Nội.
- Quy mô dự án: 8 ha với 342 căn liền kề, shophouse.
- Diện tích 80m², xây 4 tầng 1 tum (hoàn thiện mặt ngoài).
- Mật độ xây dựng: 81%.
- Bàn giao nhà: Quỹ .
- Sổ đỏ, hình thức sở hữu riêng.
- Giá 11,9 tỷ.
- Ngân hàng hỗ trợ.
- Vị trí: Ngay Quốc Lộ 32, 3 mặt tiền đường 24m và 30m.
- Cách dự án Vinhomes Đan Phượng 2km.
- Trong Vành Đai 4 khoảng 1km.
- Các đường Tây Thăng Long 1,5km.
- Dự án tốt về pháp lý và đẹp về giá cả.
- Cạnh khu cảng Nội Địa Mỹ Đình (ICD). Liên hệ tham quan dự án và làm việc chi tiết về giá: Em Duy Đông Dương - Đức Thượng Residence: 0868 383 *** .",2026-04-22,2026-04-29,project
44570082,"Chính chủ bán gấp căn 2PN 2WC DT 70m2, hướng mát, view thoáng, dự án Eco Green, giá chỉ 6,25 tỷ",https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-eco-green-sai-gon/chinh-chu-ban-gap-2pn-2wc-dt-70m2-huong-mat-view-thoang-du-an-gia-chi-6-2-ty-pr44570082,Hồ Chí Minh,Quận 7,Phường Tân Thuận Tây,Đường Nguyễn Văn Linh,"Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",6250.0,6.25,70.0,,,2.0,2.0,1,,Cơ bản,HĐMb,Tin VIP Bạc,29.7,False,False,False,"Chính chủ bán gấp căn góc 2PN 2WC diện tích 70m tại dự án Eco Green Sài Gòn, quận 7, TPHCM.
Thông tin chi tiết:
- Diện tích sàn: 70m².
- Tầng trung cao.
- Các phòng ngủ đều sáng và thoáng, căn góc, phòng tắm có cửa sổ lấy sáng.
- Nội thất thiết kế hiện đại: Điều hòa và máy lạnh âm trần Samsung, bếp, tủ bếp, thiết bị vệ sinh, sàn gỗ, nhà giữ như mới.
- Thời hạn sở hữu lâu dài.
- Giá bán chỉ 6,25 tỷ. Liên hệ em Nam 0934 569 *** để xem nhà và tư vấn chi tiết.",2026-04-26,2026-05-03,project
45411268,"Chỉ 9,2 tỷ, cho căn DT 99m2, 3PN 2VS tại dự án Sunshine Riverside căn góc, tầng cao, chủ thiện chí",https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-phu-thuong-1-sunshine-riverside/chi-hon-90tr-m2-tai-du-an-dt-90m2-3-ngu-2-vs-goc-tang-cao-chu-thien-tri-pr45411268,Hà Nội,Quận Tây Hồ,Phường Phú Thượng,,"Sunshine Riverside, Phường Phú Thượng, Quận Tây Hồ, Hà Nội",9200.0,9.2,99.0,,,3.0,2.0,1,,Cơ bản,Sổ đỏ/ Sổ hồng,Tin thường,35.6,False,True,False,"Sunshine Riverside, Phường Phú Thượng, là căn hộ chung cư cao cấp, tọa lạc tại vị trí đắc địa với diện tích 99m². Căn hộ được thiết kế hiện đại, phù hợp với nhu cầu sống tiện nghi của gia đình. Với 3PN và 2WC, không gian sống rộng rãi và thoải mái. + Giá bán: 9,2 tỷ VND. + Nội thất cơ bản, đầy đủ tiện nghi: Điều hòa, tủ lạnh, giường... + Pháp lý đầy đủ, sổ đỏ. Căn hộ nổi bật với không gian sống thoáng đãng, ánh sáng tự nhiên, mang đến cảm giác dễ chịu cho cư dân.
Đặc biệt, khu vực xung quanh yên tĩnh, an ninh tốt, rất thích hợp cho gia đình. Gần các tiện ích như gần trường học, gần chợ/siêu thị, có công viên. Liên hệ ngay để biết thêm
thông tin chi tiết: 0919 086 *** Nguyễn Văn Quynh.",2026-04-21,2026-05-06,project
45271545,Siêu hot! Chủ nhà cần bán gấp căn 2PN 2VS (căn góc) 79.7m2 đẹp nhất dự án Imperia Gaden 203 NHT,https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huy-tuong-phuong-thanh-xuan-trung-imperia-garden/sieu-hot-chu-nha-ban-gap-2pn-2vs-goc-79-7-m2-ep-nhat-du-an-graden-203-nht-pr45271545,Hà Nội,Quận Thanh Xuân,Phường Thanh Xuân Trung,Đường Nguyễn Huy Tưởng,"Imperia Garden, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",7800.0,7.8,79.7,,,2.0,2.0,1,Đông - Nam,Full nội thất. (bếp từ Boss; điều hòa âm trần... ).,Sổ đỏ/ Sổ hồng,Tin thường,29.0,False,False,False,"Chủ nhà cần tiền giảm sốc 300 triệu căn góc 2PN (căn góc) đẹp nhất dự án Imperia Graden 203 Nguyễn Huy Tưởng.
- Địa chỉ: 203 Nguyễn Huy Tưởng - Thanh Xuân - Hà Nội.
- Căn 2PN đều sáng, các phòng đều vuông vức. 79.7m².
- Ban công view đẹp + có slot đỗ ô tô.
- Full nội thất (bếp từ Boss; điều hòa âm trần... ).
- Giá công khai: 7,8 tỷ. Khách quan tâm LH: (SĐT/Zalo) 0987 907 *** (miễn tiếp MG + QC).",2026-04-14,2026-04-29,project
44646981,Bán lô shophouse 02 mặt tiền view công viên Khủng Long đẹp nhất dự án Phố Nối House - Hưng Yên,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-xa-nghia-hiep-pho-noi-house/ban-lo-02-mat-tien-view-cong-vien-khung-long-dep-nhat-du-an-hung-yen-pr44646981,Hưng Yên,Huyện Yên Mỹ,Xã Nghĩa Hiệp,Phố Nối House,"Phố Nối House, Xã Nghĩa Hiệp, Huyện Yên Mỹ, Hưng Yên",8700.0,8.7,71.85,5.66,,,,4,,,Sổ đỏ/ Sổ hồng,Tin thường,,False,True,False,"Đón sóng mở bán nhà ở xã hội, chính chủ cần bán lô góc shophouse view công viên Khủng Long đẹp nhất dự án Phố Nối House, diện tích 71,85 m², mặt tiền 5,66m, thuận lợi cho việc kinh doanh. Nhà xây thô 3.5 tầng, sổ đỏ chính chủ giao dịch ngay. Nằm tại khu vực đông dân cư với rất nhiều
tiện ích xung quanh: + 3 bước đến Phố Nối, Mỹ Hào và các đại dự án của Hòa Phát, TNR, T&T. + Gần bệnh viện đa khoa Phố Nối, thuận tiện cho việc chăm sóc sức khỏe. + Công viên Khủng Long, nơi lý tưởng để thư giãn và vui chơi. Giá bán: 8.7 tỷ có thương lượng cho khách thiện chí, ngân hàng hỗ trợ 70%. Để biết thêm thông tin chi tiết, vui lòng liên hệ 0948 593 *** .",2026-04-28,2026-05-28,project
45267919,Nhà đẹp HXH VF3 ngay dự án cầu Thủ Thiêm 4 P.Tân Thuận Quận 7 - Sổ hồng hoàn công - Chỉ 4 tỷ 390,https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-phuong-tan-thuan-tay-1-59/ep-hxh-vf3-ngay-du-an-cau-thu-thiem-4-p-quan-7-so-hong-hoan-cong-chi-hon-4-ty-pr45267919,Hồ Chí Minh,Quận 7,Phường Tân Thuận Tây,Đường Huỳnh Tấn Phát,"Đường Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",4390.0,4.39,37.7,,,2.0,2.0,2,,Cơ bản,Sổ đỏ/ Sổ hồng,Tin thường,6.3,False,False,False,"Hẻm 1 trục xe hơi VF3 tới nhà + 20m ra mặt tiền Huỳnh Tấn Phát đi đâu cũng tiện.
- Gần trường ĐH Tài Chính Marketing, ĐH Nguyễn Tất Thành, trường các cấp, chợ siêu thị.
- Sổ hồng riêng hoàn công chuẩn.
- 1 phút qua Quận 4, tiện ích xung quanh đầy đủ.
- Khu dân trí cao, an ninh, xóm thân thiện.
- Giá tốt còn thương lượng trực tiếp chủ. + Liên hệ Phúc 0387 964 *** hỗ trợ Anh Chị từ A - Z.",2026-04-25,2026-05-10,project
43103656,The River Thủ Thiêm - Chuyển nhượng 2PN view trực diện sông & Q1 đẹp nhất dự án - đã có sổ,https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-an-khanh-the-river-thu-thiem/chuyen-nhuong-2pn-view-truc-dien-song-q1-dep-nhat-du-da-co-so-pr43103656,Hồ Chí Minh,Quận 2,Phường An Khánh,,"The River Thủ Thiêm, Phường An Khánh, Quận 2, Hồ Chí Minh",21000.0,21.0,83.6,,,2.0,2.0,1,,Cơ bản,Sổ đỏ/ Sổ hồng,Tin thường,32.5,False,False,False,"Chuyển nhượng The River.
- Diện tích: Tim tường 94m², thông thuỷ 83.6m² - 2PN - 2WC.
- View trực diện sông & Q1.
- Bàn giao nội thất cơ bản CĐT.
- Giá bán chỉ: 21 tỷ all in.
- Đã nhận sổ hồng.
- -
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
- - Cam kết báo đúng giá - đúng căn - giá tốt nhất thị trường.
- Tư vấn nhiệt tình và hoàn toàn miễn phí.
- Dịch vụ chuyên nghiệp, hỗ trợ giấy tờ pháp lí nhanh gọn.
- Hàng đa dạng, đầy đủ view và diện tích.
- -
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
-
- Liên hệ ngay em Sơn 0933 322 *** (SMS/Zalo/Viber) để được hỗ trợ tận tình và chọn được căn ưng ý.",2026-04-25,2026-05-10,project
45587252,"Hàng đầu tư, mặt tiền đón đầu khu đô thị Trường Thọ - chỉ hơn 60tr/m2 full thổ cư, ngang 9m nở hậu",https://batdongsan.com.vn/ban-nha-mat-pho-duong-12-phuong-truong-tho-2-71/hang-au-tu-tien-on-au-khu-o-thi-chi-hon-60tr-m2-full-cu-ngang-9-no-hau-pr45587252,Hồ Chí Minh,Thành phố Thủ Đức,Phường Trường Thọ,Đường 12,"Đường 12, Phường Trường Thọ, Thành phố Thủ Đức, Hồ Chí Minh",21500.0,21.5,331.0,9.0,,,,1,,,Sổ đỏ/ Sổ hồng.,Tin thường,-19.5,False,False,False,"Giá đất mặt tiền rẻ hơn trong hẻm - siêu phẩm có 1 - 0 - 2 gần ga Bình Thái. Vị trí mặt tiền ngay chung cư Chương Dương Home, cách khu đô thị Trường Thọ tương lai chỉ 200m. Kết nối hạ tầng:
- Đường 12 thông với đường số 2, đường 11: Tiện di chuyển đến các đường Phạm Văn Đồng, Đặng Văn Bi, Xa Lộ Hà Nội, Kha Vạn Cân, Võ Văn Ngân...
- Cách ga Metro Bình Thái chỉ 3 phút di chuyển.
- Xung quanh bán kính 1km là các trường Đại học: Kiến Trúc, CĐ Cảnh Sát, CĐ Xây Dựng, Sư Phạm Kỹ Thuật, Ngân Hàng, CĐ Vinatex...
- Diện tích đất 331m² ngang 9m, thích hợp làm căn hộ dịch vụ, xây cao ốc văn phòng, kho xưởng, kinh doanh...
- Hiện đang có dòng tiền 30tr/ tháng.
- Đường thông, liền kề đường Vành Đai 2.
- Pháp lý sổ hồng, full thổ cư.
- Giá bán 21.5 tỷ TL khách hàng thiện chí. Quý khách hàng quan tâm vui lòng LH Mai Hằng 0909 128 *** để được tư vấn, xem nhà đất và làm việc trực tiếp với chính chủ. Hỗ trợ check QH - XD - Đăng Bộ miễn phí.",2026-04-20,2026-05-05,project
42945771,"Hàng chủ đầu tư - Sổ đỏ chuyển nhượng dự án đấu giá Đông Dương, Đức Thượng",https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-32-xa-duc-thuong-dong-duong-residence/hang-chu-dau-tu-hang-chuyen-nhuong-da-ban-giao-du-an-dau-gia-thuong-pr42945771,Hà Nội,Huyện Hoài Đức,Xã Đức Thượng,Đường Quốc lộ 32,"Đông Dương Residence, Đường Quốc lộ 32, Xã Đức Thượng, Huyện Hoài Đức, Hà Nội",11900.0,11.9,80.0,5.0,12.0,6.0,7.0,5,Tây - Nam,Không nội thất.,Sổ đỏ/ Sổ hồng,Tin thường,15.3,False,False,False,"Tên dự án: Đầu tư xây dựng nhà ở tại khu đất bồi thường, hỗ trợ giải phóng mặt bằng phục vụ đầu tư xây dựng hạ tầng kỹ thuật tại xã Đức Thượng, huyện Hoài Đức, Hà Nội.
- Quy mô dự án: 8 ha với 342 căn liền kề, shophouse.
- Diện tích 80m², xây 4 tầng 1 tum (hoàn thiện mặt ngoài).
- Mật độ xây dựng: 81%.
- Bàn giao nhà: Quỹ .
- Sổ đỏ từng lô.
- Giá 11.9 tỷ.
- Ngân hàng hỗ trợ.
- Vị trí: Ngay Quốc Lộ 32, 3 mặt tiền đường 24m và 30m.
- Cách dự án Vinhomes Đan Phượng 2km.
- Trong Vành Đai 4 khoảng 1km.
- Các đường Tây Thăng Long 1,5km.
- Dự án tốt về pháp lý và đẹp về giá cả.
- Cạnh khu cảng Nội Địa Mỹ Đình (ICD). Liên hệ tham quan dự án và làm việc chi tiết về giá: Em Duy Đông Dương - Đức Thượng Residence: 0868 383 *** .",2026-04-28,2026-05-13,project
